"","A549.Mock.A","A549.Mock.B","A549.Mock.C","A549.Virus.A","A549.Virus.B","A549.Virus.C","A549.KO3.Mock.A","A549.KO3.Mock.B","A549.KO3.Mock.C","A549.KO3.Virus.A","A549.KO3.Virus.B","A549.KO3.Virus.C"
"SLC9A2",5.33749203430249,5.17439424163577,5.36400448221095,4.8802082405008,4.84411843498798,4.74381977264878,7.23948120050752,7.18484342091156,7.62461167094061,6.90709955179398,6.9544656828847,6.72968644513912
"BMP7",6.9001210480886,7.01661526123621,6.92857153198314,6.82691174745583,6.8352835873888,6.80363696399469,6.39699537279579,6.54174856290053,6.26013148795263,6.27618740921404,6.15936221971356,6.36390341089213
"SLC12A2",7.94767041933946,8.30886251869694,8.37525761999114,7.43239944986139,7.54691944578568,8.0401041335353,10.3378144249508,10.1635269104095,10.376864549331,10.4022613782124,10.1399276217508,10.3736636792331
"SLC16A2",7.96081973838867,7.82888391410342,7.98671674405799,7.57604429558665,7.62906875345886,7.65931431880772,7.23838171070886,7.44111725616287,7.35095224936733,7.27830410264374,7.25191636497845,7.22804274993278
"BMPR1A",8.97676810287666,8.91923046191841,9.0097045210847,8.75099242780365,8.711135017837,9.00877055027685,9.06280071035194,8.94357807469974,9.24503511716915,9.37989654786407,9.31029435874964,9.29481056635176
"SLC25A1",9.45749050585586,9.30572589602421,9.45334811263363,8.79503875142146,8.89278171972064,8.97491958920893,9.08660206257968,9.04213709721729,9.13991733203322,8.91872093688911,9.04041962426961,8.78138515587921
"BMPR1B",6.67315980548307,6.6605640159019,6.66475339530951,6.12817706398639,6.15058314680343,6.42456165840719,7.56445512746142,7.49443693183776,7.81789966415352,7.59200647643488,7.57227055479413,7.45825585663415
"SLC22A3",8.26786124690116,8.30591349981761,8.21010320410576,7.38381679740955,7.488484269003,7.72829287284464,9.148148688303,9.16007866348928,9.45195999567871,9.09804315076926,9.15608432113708,8.97151366197688
"SLIT3",8.15448840042294,8.06892663772065,8.17635022503125,7.78352043522832,7.74444834103517,7.71913741884369,7.60932621213173,7.554857204823,7.55141140161731,7.46617192494123,7.4899848298676,7.47385453596176
"BMPR2",8.8406944601575,8.9045571751952,8.93111184865134,9.21451820983028,9.1887606881184,9.38832828395153,8.67309225528977,8.56218798394004,8.84772430143777,9.32739529664951,9.27758979766885,9.23064734015614
"SLPI",6.34849569529274,6.0147121830448,6.1888895582353,6.40742103294964,6.43310102429983,5.93239244277885,8.70597743551018,8.80733889863047,9.06108080367803,8.82160372660246,8.96116538280513,8.8316014974277
"SMARCA1",9.61116914102942,9.68467951954449,9.7166323079359,9.26276188857705,9.10924855425327,9.43066901548433,9.91566798096276,9.82743572492105,10.1081436627545,9.8529384421062,9.8061540701348,9.75583902347194
"HLTF",8.95817925881992,9.07313605763601,9.0925401103781,8.40382692563103,8.2951063121035,8.73904997472265,9.17652192423196,9.04282665416316,9.38636665141878,9.00186937963258,8.91361146590985,8.89447193844059
"PHACTR4",8.12089871233159,8.06168717362109,8.20192731448906,8.51214894161497,8.52811545529914,8.73280220020902,8.25069566584376,8.11806633858001,8.42184799918597,9.19095224476429,9.10996675143707,9.01922422211635
"SMPD1",7.7249314860777,7.78244829555907,7.7551058223477,7.58060929996045,7.54402889590472,7.57656700781371,8.23437761890062,8.27084879813471,8.41845869718556,8.15290081940071,8.2325236716085,8.12849226521739
"FSCN1",9.37623995736726,9.34535364682635,9.40741409448716,9.39532484714431,9.45356587633703,9.38125349517508,9.01310517018159,9.07198068341891,8.96684349461092,8.81068476797315,8.84834059824653,8.88724719040792
"SNTB1",6.16772521095457,6.17777883253833,6.12296326188796,6.30030447981551,6.31949540157239,5.94681055106198,6.94535039966011,6.8772064351465,6.99555403752787,6.79483694043009,6.81641081011409,6.86001532411008
"SOAT1",8.54720783601162,8.51929167657935,8.62957884184049,8.62584021821301,8.55885850257479,8.83929362726589,9.22675190969775,9.19060292531939,9.49831630967029,9.38260952041786,9.30987458977971,9.24652302480148
"SOD2",8.39555418053336,8.31011101705347,8.40001955217499,9.72779083034671,9.66377689511346,9.95516327284269,8.19161571973515,8.03834286851445,8.2117454558469,8.6141276448552,8.56545082050966,8.43651803391723
"SORL1",4.17437532907777,3.90949714120851,3.95682741442389,3.7679035537887,4.06047215471867,4.09128055864208,4.97852063388134,4.75867950372819,5.22317423629264,4.46822761008618,4.38907864395735,4.16534222425494
"SOX2",7.56900646462325,7.56495822573368,7.66374180680073,7.44274815125819,7.57291914599141,7.72383763267636,8.30959627023327,8.10933329278939,8.42936751359052,8.56039481494658,8.83230760141228,8.49324428328665
"SOX4",7.79581883314796,7.75388228656635,7.6979139280208,7.53831906780355,7.70414070233573,7.87271343623918,8.88192830553908,8.78359705715382,9.06578472580224,9.1417576809621,9.12051126222692,9.07406509235659
"SOX9",7.61297624973661,7.514825520039,7.54958567587101,7.84878282380206,7.82360474476283,7.81144308755496,8.25583117005213,8.3018196633772,8.35307437137991,8.47242738879144,8.52751581665889,8.32024219335694
"SP100",6.43505136404229,6.34635573219712,6.42704654923704,8.65307339823305,8.65050068521042,8.91746011469822,5.7998713595497,5.64224782400206,5.95864725189588,8.74305099140849,8.73031973828765,8.60056064750567
"SPOCK1",6.69265471027626,6.53954631863871,6.49959196217232,6.69479610132447,6.67836261995662,6.62693117865211,6.05331248963086,6.15011925111219,5.88570260840584,5.88053530042689,5.92978024945145,6.10656849650333
"SPP1",12.0164187708897,11.9357339871459,12.0121298558528,12.0111807188372,11.9430309751127,12.0223236607179,10.9924445855016,10.9493188611926,11.1254273841073,11.0201024729199,11.0633447051451,10.9037869710418
"SPTBN1",9.10066374229443,9.05350231524636,9.11745869100618,9.17264798423771,9.16157799819696,9.28368817696858,8.54870465301604,8.54657774409293,8.7235138114058,8.73288724397227,8.78191592823616,8.58469472876536
"BRCA1",8.30193960363276,8.38665096656471,8.45361132241119,7.99010239856431,7.9564943990302,8.30834575426587,8.60858110570444,8.6216827188552,8.97003122693848,8.65744308316675,8.71224849005704,8.5340505667782
"TRIM21",6.89663616036908,6.69003351857769,6.76424432258613,8.96696508872977,8.94459776266868,9.19776081276967,6.7065480213434,6.69096226529586,6.84091470467742,9.56632662432348,9.59599390124965,9.42792069957416
"ITPRID2",7.49903583404472,7.56815923850575,7.56370383696719,7.4569398202691,7.45646063461871,7.74197553535304,6.85754840119439,6.7819324457525,7.16559565491931,6.95361594333215,6.95886936639318,6.79009158344908
"BRCA2",6.95896829613932,6.98212884512272,7.13024794639444,7.1787417825198,7.20309395541734,7.61900747947042,7.0615456123394,6.94494483349535,7.31657608037434,7.84020204010182,7.78919096265177,7.65480621084712
"STAT1",9.41202495933154,9.51789312898917,9.59273114245317,11.3041161218848,11.2860990948974,11.4575294755308,9.03710663086249,8.95628594596346,9.26902730418386,11.4483025694767,11.3867205437918,11.4003812261204
"STAT2",6.85929982679466,6.89331151347797,7.01159753337081,9.50570507662616,9.46881513901569,9.71119518008327,7.15450233162878,7.0806211692737,7.36459464153792,10.1514221845404,10.1503729283041,9.98169054549939
"SCARNA5",7.34776492534732,7.24493949955651,7.38916281785205,6.94749414906098,7.14404529405766,7.16628987336222,6.70334582537356,6.74443108122724,6.38017573137826,6.60799025975469,6.53241711319836,6.56646950843326
"STAT6",7.91238198363272,7.79678910473879,7.93953657533312,8.04354702375991,8.0935199491516,8.1122022651746,8.30903026108236,8.29148473097758,8.54424095663256,8.70874227349888,8.72355727531031,8.5723775667876
"SNORA26",5.34444687347039,5.04682655068913,5.23483076180223,5.56318448186827,5.45062014053312,5.58478062537891,6.24426330765904,5.77266453110772,6.29184512135802,6.28237600566823,5.95493956077349,6.06463741035922
"SNORA47",8.84046188396929,8.79895420299313,8.8517441943369,8.71855384053202,8.73514739120497,8.61926826789579,9.46696946392344,9.44021565381322,9.48315485935768,9.45911722583176,9.46435246650526,9.30874392453448
"ZFP36L2",8.04947194120782,7.8021700085273,8.02645428598695,8.69615436849288,8.77846530413196,8.81928146462306,8.33454226543052,8.40089393443485,8.60167051755555,8.97318854554061,9.05545932392533,8.80941730915582
